Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
847,Sean Zawadzki,us USA,"DF,MF",Columbus Crew,22,2000,17.5,1204,79,437,656,118,16,1204,16,9,56.3,5,31.3,742,3732,2150,18,20,2,16,12,852,8,Matches
848,Lucas Zelarayán,am ARM,"MF,FW",Columbus Crew,30,1992,18.9,1271,7,70,557,665,71,1269,132,73,55.3,42,31.8,822,4724,2256,79,62,13,53,41,976,140,Matches
849,Walker Zimmerman,us USA,DF,Nashville,29,1993,20.5,1290,201,705,528,64,40,1290,3,3,100.0,0,0.0,678,2519,1161,0,1,0,5,2,804,17,Matches
850,Rida Zouhir,ca CAN,"MF,FW",CF Montréal,19,2003,2.5,117,2,25,77,18,1,117,7,3,42.9,4,57.1,66,306,129,4,1,0,0,3,76,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
851,Ethan Zubak,us USA,FW,Nashville,24,1998,1.6,75,5,14,31,33,5,75,5,1,20.0,3,60.0,38,250,94,3,3,1,3,2,54,14,Matches
852,Dario Župarić,ba BIH,DF,Portland Timbers,30,1992,31.0,1480,162,738,689,62,20,1480,5,3,60.0,0,0.0,785,3879,1951,9,3,1,10,2,851,6,Matches
853,Graham Zusi,us USA,DF,Sporting KC,36,1986,9.6,762,31,221,367,184,7,762,12,9,75.0,3,25.0,438,2225,1143,21,23,1,11,8,457,36,Matches
854,Nökkvi Þórisson,is ISL,"FW,MF",St. Louis,23,1999,3.0,127,6,22,54,53,7,127,9,3,33.3,4,44.4,71,532,253,7,6,0,11,2,78,16,Matches
855,Róbert Þorkelsson,is ISL,DF,CF Montréal,20,2002,2.5,161,11,64,78,19,0,161,0,0,,0,,84,371,224,3,0,0,2,5,89,2,Matches
