Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
526,Tyler Miller,us USA,GK,D.C. United,29,1993,24.5,882,1210,72.9,25975,21291,216,217,99.5,343,357,96.1,320,627,51.0,0,0.0,0.4,0.0,1,61,6,0,10,Matches
527,Kevin Molino,tt TRI,"MF,FW",Columbus Crew,32,1990,0.7,86,95,90.5,1150,275,51,55,92.7,27,28,96.4,3,5,60.0,0,0.1,0.1,-0.1,2,6,3,1,7,Matches
528,Alex Monis,us USA,FW,Chicago Fire,19,2003,0.1,3,6,50.0,26,7,2,3,66.7,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
529,Jamiro Monteiro,cv CPV,MF,San Jose,29,1993,23.6,962,1111,86.6,14653,3352,545,591,92.2,309,349,88.5,65,98,66.3,3,2.5,3.1,+0.5,26,86,18,2,113,Matches
530,Fredy Montero,co COL,"FW,MF",Seattle,35,1987,4.8,108,159,67.9,1809,498,48,62,77.4,44,60,73.3,12,23,52.2,1,0.8,1.0,+0.2,8,13,5,1,23,Matches
531,Shaquell Moore,us USA,DF,Nashville,26,1996,30.8,1107,1449,76.4,20561,7293,449,506,88.7,505,622,81.2,137,255,53.7,4,3.0,2.6,+1.0,25,83,36,18,106,Matches
532,Felipe Mora,cl CHI,FW,Portland Timbers,29,1993,9.1,154,198,77.8,2489,393,83,101,82.2,51,65,78.5,15,18,83.3,1,1.2,1.2,-0.2,7,13,8,0,22,Matches
533,Joseph Mora,cr CRC,DF,Charlotte,30,1993,2.1,74,116,63.8,1035,518,40,50,80.0,28,36,77.8,1,12,8.3,0,0.1,0.1,-0.1,1,2,2,1,9,Matches
534,Alfredo Morales,us USA,MF,NYCFC,32,1990,12.9,494,571,86.5,8478,2323,234,261,89.7,207,224,92.4,46,68,67.6,1,0.2,0.8,+0.8,5,54,5,1,47,Matches
535,Maximiliano Moralez,ar ARG,"MF,FW",NYCFC,35,1987,3.5,189,230,82.2,3097,1148,95,107,88.8,72,81,88.9,17,29,58.6,0,1.1,1.0,-1.1,8,31,12,2,41,Matches
536,Steven Moreira,cv CPV,DF,Columbus Crew,28,1994,32.5,1941,2191,88.6,33987,13438,837,897,93.3,956,1029,92.9,126,192,65.6,3,2.6,2.5,+0.4,24,170,27,8,170,Matches
537,Junior Moreno,ve VEN,MF,FC Cincinnati,29,1993,25.0,1011,1120,90.3,16689,4977,477,519,91.9,396,424,93.4,90,107,84.1,2,0.9,1.5,+1.1,14,96,17,2,115,Matches
538,Santiago Moreno,co COL,"FW,MF",Portland Timbers,22,2000,25.9,752,1011,74.4,12069,3623,382,465,82.2,263,334,78.7,71,121,58.7,6,4.8,4.9,+1.2,47,88,40,4,130,Matches
